# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
# Route 5 (41) - Route 4 Cycling Road (40)
41,N,0,40,S,0
# Route 5 (41) - Route 6 Cycling Road (45)
41,S,6,45,N,0
# RanchW (48) - RanchSW (43)
48,S,0,43,N,0
# RanchN (77) - RanchSW (43)
77,W,40,43,E,0
# RanchC (78) - RanchSW (43)
78,W,20,43,E,0
# RanchE (80) - RanchSW (43)
80,S,0,43,N,40
# RanchNW (76) - RanchW (48)
76,S,0,48,N,0
# RanchN (77) - RanchW (48)
77,W,20,48,E,0
# RanchC (78) - RanchW (48)
78,W,0,48,E,0
# RanchNE (79) - RanchW (48)
79,S,0,48,N,40
# RanchSE (81) - RanchW (48)
81,N,0,48,S,40
# RanchN (77) - RanchNW (76)
77,W,0,76,E,0
# RanchC (78) - RanchNW (76)
78,W,0,76,E,20
# RanchE (80) - RanchNW (76)
80,N,0,76,S,40
# RanchC (78) - RanchN (77)
78,N,0,77,S,0
# RanchNE (79) - RanchN (77)
79,W,0,77,E,0
# RanchE (80) - RanchN (77)
80,W,0,77,E,20
# RanchSE (81) - RanchN (77)
81,W,0,77,E,40
# RanchNE (79) - RanchC (78)
79,W,20,78,E,0
# RanchE (80) - RanchC (78)
80,W,0,78,E,0
# RanchSE (81) - RanchC (78)
81,W,0,78,E,20
# RanchE (80) - RanchNE (79)
80,N,0,79,S,0
# RanchSE (81) - RanchE (80)
81,N,0,80,S,0
# Lappet Town (2) - Safari Zone outside (66)
2,W,0,66,E,0
# Route 1 (5) - Safari Zone outside (66)
5,S,0,66,N,18
# Route 8 (69) - Safari Zone outside (66)
69,N,0,66,S,10
# Ranch Entrance (22) - Safari Zone outside (66)
22,E,0,66,W,0
# Route 1 (5) - Lappet Town (2)
5,S,4,2,N,0
# Route 8 (69) - Lappet Town (2)
69,N,12,2,S,0
# Route 6 (44) - Route 1 (5)
44,S,43,5,N,0
# Cedolan City (7) - Route 1 (5)
7,S,0,5,N,2
# Route 7 (47) - Route 1 (5)
47,S,0,5,N,62
# Ranch Entrance (22) - Route 1 (5)
22,N,47,5,S,0
# Ranch Entrance (22) - Route 8 (69)
22,S,39,69,N,0
# Cedolan City (7) - Route 6 (44)
7,W,5,44,E,0
# Lerucean Town (23) - Cedolan City (7)
23,W,78,7,E,0
# Route 2 (21) - Cedolan City (7)
21,S,0,7,N,21
# Route 7 (47) - Cedolan City (7)
47,W,0,7,E,0
# Route 2 (21) - Lerucean Town (23)
21,E,0,23,W,1
# Route 3 (31) - Lerucean Town (23)
31,S,32,23,N,0
# Route 7 (47) - Route 2 (21)
47,W,0,21,E,77
# Battle Frontier (52) - Route 7 (47)
52,W,0,47,E,8
# Ingido Plateau outside (35) - Route 3 (31)
35,E,10,31,W,0
# Route 4 (39) - Ingido Plateau outside (35)
39,E,0,35,W,11
